CategoryID,Category Path
163092,"Antiques > Mercantile, Trades & Factories > Barber Chairs"
163093,"Antiques > Mercantile, Trades & Factories > Binding, Embossing & Printing"
163094,"Antiques > Mercantile, Trades & Factories > Cash Register, Adding Machines"
163095,"Antiques > Mercantile, Trades & Factories > Display Cases"
163096,"Antiques > Mercantile, Trades & Factories > Industrial Molds"
163097,"Antiques > Mercantile, Trades & Factories > Safes & Still Banks"
163098,"Antiques > Mercantile, Trades & Factories > Scales"
163099,"Antiques > Mercantile, Trades & Factories > Typewriters"
163100,"Antiques > Mercantile, Trades & Factories > Other Mercantile Antiques"
156320,"Antiques > Musical Instruments (Pre-1930) > Brass"
37975,"Antiques > Musical Instruments (Pre-1930) > Keyboard"
37976,"Antiques > Musical Instruments (Pre-1930) > Percussion"
181727,"Antiques > Musical Instruments (Pre-1930) > String"
37977,"Antiques > Musical Instruments (Pre-1930) > Wind"
156321,"Antiques > Musical Instruments (Pre-1930) > Reproductions"
171176,"Antiques > Musical Instruments (Pre-1930) > Price Guides & Publications"
156322,"Antiques > Musical Instruments (Pre-1930) > Other Antique Instruments"
100928,"Antiques > Periods & Styles > Aesthetic Movement"
69471,"Antiques > Periods & Styles > Art Deco"
69472,"Antiques > Periods & Styles > Art Nouveau"
96768,"Antiques > Periods & Styles > Arts & Crafts Movement"
69473,"Antiques > Periods & Styles > Mid-Century Modernism"
151738,"Antiques > Periods & Styles > Victorian"
171179,"Antiques > Periods & Styles > Price Guides & Publications"
163128,"Antiques > Periods & Styles > Other Antique Periods & Styles"
1217,"Antiques > Primitives"
163102,"Antiques > Restoration & Care > Cleaners & Polish"
163104,"Antiques > Restoration & Care > Storage & Display"
163105,"Antiques > Restoration & Care > Other Antique Restoration"
37978,"Antiques > Rugs & Carpets"
163023,"Antiques > Science & Medicine (Pre-1930) > Apothecary & Pharmaceutical > Bottles & Jars"
163024,"Antiques > Science & Medicine (Pre-1930) > Apothecary & Pharmaceutical > Mortar & Pestles"
163025,"Antiques > Science & Medicine (Pre-1930) > Apothecary & Pharmaceutical > Scales"
163026,"Antiques > Science & Medicine (Pre-1930) > Apothecary & Pharmaceutical > Other Antique Apothecary"
163027,"Antiques > Science & Medicine (Pre-1930) > Dentistry"
163028,"Antiques > Science & Medicine (Pre-1930) > Engineering"
163030,"Antiques > Science & Medicine (Pre-1930) > Medicine > Doctor Bags"
4069,"Antiques > Science & Medicine (Pre-1930) > Medicine > Quack Medicine"
163031,"Antiques > Science & Medicine (Pre-1930) > Medicine > Stethoscopes"
163032,"Antiques > Science & Medicine (Pre-1930) > Medicine > Surgical Sets"
163033,"Antiques > Science & Medicine (Pre-1930) > Medicine > Surgical Tools"
1210,"Antiques > Science & Medicine (Pre-1930) > Medicine > Other Medical Antiques"
170063,"Antiques > Science & Medicine (Pre-1930) > Mining"
163034,"Antiques > Science & Medicine (Pre-1930) > Optical"
163036,"Antiques > Science & Medicine (Pre-1930) > Scientific Instruments > Barometers"
163037,"Antiques > Science & Medicine (Pre-1930) > Scientific Instruments > Microscopes & Lab Equipment"
361,"Antiques > Science & Medicine (Pre-1930) > Scientific Instruments > Other Antique Science Equip"
171167,"Antiques > Science & Medicine (Pre-1930) > Price Guides & Publications"
20095,"Antiques > Science & Medicine (Pre-1930) > Other Antique Science, Medical"
156324,"Antiques > Sewing (Pre-1930) > Baskets & Boxes"
156325,"Antiques > Sewing (Pre-1930) > Buttons"
156326,"Antiques > Sewing (Pre-1930) > Furniture"
156328,"Antiques > Sewing (Pre-1930) > Needles & Cases"
156329,"Antiques > Sewing (Pre-1930) > Patterns"
167949,"Antiques > Sewing (Pre-1930) > Pin Cushions"
156327,"Antiques > Sewing (Pre-1930) > Sewing Machines"
163106,"Antiques > Sewing (Pre-1930) > Sewing Machine Parts"
156332,"Antiques > Sewing (Pre-1930) > Spools & Thread"
156330,"Antiques > Sewing (Pre-1930) > Thimbles"
167950,"Antiques > Sewing (Pre-1930) > Tools, Scissors & Measures"
171177,"Antiques > Sewing (Pre-1930) > Price Guides & Publications"
156331,"Antiques > Sewing (Pre-1930) > Other Antique Sewing"
105908,"Antiques > Silver > Sterling Silver (.925) > Ash Trays"
163056,"Antiques > Silver > Sterling Silver (.925) > Bottles, Decanters & Flasks"
37991,"Antiques > Silver > Sterling Silver (.925) > Bowls"
37992,"Antiques > Silver > Sterling Silver (.925) > Boxes"
105911,"Antiques > Silver > Sterling Silver (.925) > Brushes & Grooming Sets"
20103,"Antiques > Silver > Sterling Silver (.925) > Candlesticks & Candelabra"
105899,"Antiques > Silver > Sterling Silver (.925) > Card Cases"
105900,"Antiques > Silver > Sterling Silver (.925) > Cigarette & Vesta Cases"
163055,"Antiques > Silver > Sterling Silver (.925) > Creamers & Sugar Bowls"
37993,"Antiques > Silver > Sterling Silver (.925) > Cups & Goblets"
63620,"Antiques > Silver > Sterling Silver (.925) > Dishes & Coasters"
20104,"Antiques > Silver > Sterling Silver (.925) > Flatware & Silverware"
63623,"Antiques > Silver > Sterling Silver (.925) > Miniatures"
113310,"Antiques > Silver > Sterling Silver (.925) > Mustard Pots"
39440,"Antiques > Silver > Sterling Silver (.925) > Napkin Rings & Clips"
37995,"Antiques > Silver > Sterling Silver (.925) > Pitchers & Jugs"
163272,"Antiques > Silver > Sterling Silver (.925) > Plates & Chargers"
39441,"Antiques > Silver > Sterling Silver (.925) > Platters & Trays"
39442,"Antiques > Silver > Sterling Silver (.925) > Salt & Pepper Shakers"
163273,"Antiques > Silver > Sterling Silver (.925) > Salt Cellars"
105914,"Antiques > Silver > Sterling Silver (.925) > Sauce Boats"
63621,"Antiques > Silver > Sterling Silver (.925) > Souvenir Spoons"
63622,"Antiques > Silver > Sterling Silver (.925) > Sugar Bowls & Tongs"
37998,"Antiques > Silver > Sterling Silver (.925) > Tea/Coffee Pots & Sets"
107440,"Antiques > Silver > Sterling Silver (.925) > Thimbles"
39443,"Antiques > Silver > Sterling Silver (.925) > Vases & Urns"
107441,"Antiques > Silver > Sterling Silver (.925) > Vinaigrettes"
